league,season,team,player,nation,pos,age,born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,1920,Everton,Jordan Pickford,ENG,GK,25,1994,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Everton,Leighton Baines,ENG,DF,34,1984,4.5,0,1,0,0.0,0.22,0.0,0.0,,31.0,1,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1920,Everton,Lucas Digne,FRA,DF,26,1993,33.7,0,29,4,13.8,0.86,0.12,0.0,0.0,24.4,13,0,0,1.5,1.5,0.05,-1.5,-1.5
ENG-Premier League,1920,Everton,Mason Holgate,ENG,DF,22,1996,22.8,0,11,5,45.5,0.48,0.22,0.0,0.0,15.0,0,0,0,1.7,1.7,0.16,-1.7,-1.7
ENG-Premier League,1920,Everton,Michael Keane,ENG,DF,26,1993,28.4,2,14,4,28.6,0.49,0.14,0.14,0.5,7.8,0,0,0,1.9,1.9,0.13,0.1,0.1
ENG-Premier League,1920,Everton,Moise Kean,ITA,FW,19,2000,9.5,2,30,13,43.3,3.17,1.37,0.07,0.15,16.1,0,0,0,4.0,4.0,0.13,-2.0,-2.0
ENG-Premier League,1920,Everton,Morgan Schneiderlin,FRA,MF,29,1989,11.1,0,6,0,0.0,0.54,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,1920,Everton,Oumar Niasse,SEN,FW,29,1990,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Everton,Richarlison,BRA,"FW,MF",22,1997,34.1,13,90,32,35.6,2.64,0.94,0.14,0.41,14.8,0,0,0,9.1,9.1,0.1,3.9,3.9
ENG-Premier League,1920,Everton,Séamus Coleman,IRL,DF,30,1988,20.4,0,8,3,37.5,0.39,0.15,0.0,0.0,16.0,0,0,0,0.9,0.9,0.12,-0.9,-0.9
