league,season,team,player,nation,pos,age,born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,1920,Manchester City,Tommy Doyle,ENG,MF,17,2001,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,20.9,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,1920,Manchester City,İlkay Gündoğan,GER,MF,28,1990,22.4,2,31,6,19.4,1.38,0.27,0.03,0.17,21.5,2,1,2,4.0,2.4,0.08,-2.0,-1.4
ENG-Premier League,1920,Manchester Utd,Aaron Wan-Bissaka,ENG,DF,21,1997,34.1,0,7,1,14.3,0.21,0.03,0.0,0.0,15.5,0,0,0,0.7,0.7,0.1,-0.7,-0.7
ENG-Premier League,1920,Manchester Utd,Andreas Pereira,BRA,"MF,FW",23,1996,16.5,1,37,14,37.8,2.24,0.85,0.03,0.07,22.9,3,0,0,2.3,2.3,0.06,-1.3,-1.3
ENG-Premier League,1920,Manchester Utd,Angel Gomes,ENG,MF,18,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Anthony Martial,FRA,FW,23,1995,29.2,17,79,38,48.1,2.71,1.3,0.22,0.45,16.5,0,0,1,12.1,11.3,0.14,4.9,5.7
ENG-Premier League,1920,Manchester Utd,Ashley Young,ENG,DF,34,1985,10.6,0,3,0,0.0,0.28,0.0,0.0,,21.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,Axel Tuanzebe,COD,DF,21,1997,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Brandon Williams,ENG,DF,18,2000,11.2,1,6,2,33.3,0.54,0.18,0.17,0.5,13.1,0,0,0,1.0,1.0,0.16,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Bruno Fernandes,POR,MF,24,1994,13.2,8,40,14,35.0,3.04,1.06,0.1,0.29,24.6,7,4,4,6.2,3.0,0.08,1.8,1.0
ENG-Premier League,1920,Manchester Utd,Daniel James,WAL,FW,21,1997,25.4,3,42,20,47.6,1.65,0.79,0.07,0.15,17.3,0,0,0,3.1,3.1,0.07,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,David de Gea,ESP,GK,28,1990,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Diogo Dalot,POR,"DF,MF",20,1999,0.7,0,1,0,0.0,1.34,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.29,-0.3,-0.3
ENG-Premier League,1920,Manchester Utd,Eric Bailly,CIV,DF,25,1994,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Fred,BRA,MF,26,1993,24.0,0,40,10,25.0,1.66,0.42,0.0,0.0,24.5,3,0,0,1.7,1.7,0.04,-1.7,-1.7
ENG-Premier League,1920,Manchester Utd,Harry Maguire,ENG,DF,26,1993,38.0,1,31,8,25.8,0.82,0.21,0.03,0.13,12.7,0,0,0,2.1,2.1,0.07,-1.1,-1.1
ENG-Premier League,1920,Manchester Utd,James Garner,ENG,MF,18,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Manchester Utd,Jesse Lingard,ENG,"MF,FW",26,1992,10.4,1,22,6,27.3,2.12,0.58,0.05,0.17,18.7,0,0,0,1.9,1.9,0.09,-0.9,-0.9
ENG-Premier League,1920,Manchester Utd,Juan Mata,ESP,"MF,FW",31,1988,8.4,0,10,2,20.0,1.19,0.24,0.0,0.0,18.5,2,0,0,1.1,1.1,0.11,-1.1,-1.1
ENG-Premier League,1920,Manchester Utd,Luke Shaw,ENG,DF,24,1995,19.3,0,11,5,45.5,0.57,0.26,0.0,0.0,18.2,0,0,0,0.7,0.7,0.06,-0.7,-0.7
ENG-Premier League,1920,Manchester Utd,Marcos Rojo,ARG,DF,29,1990,1.4,0,1,0,0.0,0.74,0.0,0.0,,6.7,0,0,0,0.2,0.2,0.2,-0.2,-0.2
ENG-Premier League,1920,Manchester Utd,Marcus Rashford,ENG,FW,21,1997,29.4,17,87,37,42.5,2.96,1.26,0.13,0.3,19.7,16,6,8,19.2,12.9,0.15,-2.2,-1.9
ENG-Premier League,1920,Manchester Utd,Mason Greenwood,ENG,FW,17,2001,14.7,10,39,20,51.3,2.66,1.36,0.26,0.5,17.0,0,0,0,2.9,2.9,0.07,7.1,7.1
ENG-Premier League,1920,Manchester Utd,Nemanja Matić,SRB,MF,30,1988,17.6,0,7,2,28.6,0.4,0.11,0.0,0.0,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,1920,Manchester Utd,Odion Ighalo,NGA,FW,30,1989,1.1,0,7,3,42.9,6.24,2.67,0.0,0.0,11.7,0,0,0,1.9,1.9,0.27,-1.9,-1.9
ENG-Premier League,1920,Manchester Utd,Paul Pogba,FRA,MF,26,1993,13.4,1,21,7,33.3,1.57,0.52,0.05,0.14,22.5,2,0,1,2.4,1.6,0.08,-1.4,-0.6
ENG-Premier League,1920,Manchester Utd,Phil Jones,ENG,DF,27,1992,1.5,0,2,1,50.0,1.33,0.67,0.0,0.0,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,Scott McTominay,SCO,MF,22,1996,19.7,4,29,10,34.5,1.47,0.51,0.14,0.4,20.9,0,0,0,2.2,2.2,0.08,1.8,1.8
ENG-Premier League,1920,Manchester Utd,Tahith Chong,NED,"FW,DF",19,1999,0.4,0,1,0,0.0,2.43,0.0,0.0,,14.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,Timothy Fosu-Mensah,NED,DF,21,1998,1.5,0,1,0,0.0,0.66,0.0,0.0,,11.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1920,Manchester Utd,Victor Lindelöf,SWE,DF,25,1994,34.4,1,6,1,16.7,0.17,0.03,0.17,1.0,11.4,0,0,0,0.3,0.3,0.06,0.7,0.7
ENG-Premier League,1920,Newcastle Utd,Allan Saint-Maximin,FRA,"MF,FW",22,1997,20.7,3,46,21,45.7,2.22,1.01,0.07,0.14,22.5,0,0,0,3.3,3.3,0.07,-0.3,-0.3
ENG-Premier League,1920,Newcastle Utd,Andy Carroll,ENG,FW,30,1989,7.0,0,16,3,18.8,2.28,0.43,0.0,0.0,14.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2
ENG-Premier League,1920,Newcastle Utd,Christian Atsu,GHA,"MF,FW",27,1992,8.3,0,5,1,20.0,0.6,0.12,0.0,0.0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,1920,Newcastle Utd,Ciaran Clark,IRL,DF,29,1989,13.2,2,6,4,66.7,0.46,0.3,0.33,0.5,8.3,0,0,0,1.3,1.3,0.21,0.7,0.7
ENG-Premier League,1920,Newcastle Utd,Danny Rose,ENG,DF,29,1990,9.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,DeAndre Yedlin,USA,DF,26,1993,10.4,1,1,1,100.0,0.1,0.1,1.0,1.0,3.4,0,0,0,0.8,0.8,0.75,0.2,0.2
ENG-Premier League,1920,Newcastle Utd,Dwight Gayle,ENG,FW,28,1990,9.4,4,23,10,43.5,2.44,1.06,0.17,0.4,11.9,1,0,0,4.3,4.3,0.19,-0.3,-0.3
ENG-Premier League,1920,Newcastle Utd,Emil Krafth,SWE,DF,24,1994,11.3,0,4,0,0.0,0.35,0.0,0.0,,13.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
ENG-Premier League,1920,Newcastle Utd,Fabian Schär,SUI,"DF,MF",27,1991,18.6,2,20,6,30.0,1.08,0.32,0.1,0.33,21.4,1,0,0,1.4,1.4,0.07,0.6,0.6
ENG-Premier League,1920,Newcastle Utd,Federico Fernández,ARG,DF,30,1989,29.1,2,15,7,46.7,0.52,0.24,0.13,0.29,11.5,0,0,0,1.4,1.4,0.1,0.6,0.6
ENG-Premier League,1920,Newcastle Utd,Florian Lejeune,FRA,DF,28,1991,4.9,2,4,3,75.0,0.81,0.61,0.5,0.67,14.4,0,0,0,1.2,1.2,0.3,0.8,0.8
ENG-Premier League,1920,Newcastle Utd,Isaac Hayden,ENG,MF,24,1995,24.7,1,18,3,16.7,0.73,0.12,0.06,0.33,20.9,0,0,0,1.2,1.2,0.07,-0.2,-0.2
ENG-Premier League,1920,Newcastle Utd,Jamaal Lascelles,ENG,DF,25,1993,23.1,1,9,2,22.2,0.39,0.09,0.11,0.5,12.9,0,0,0,0.5,0.5,0.06,0.5,0.5
ENG-Premier League,1920,Newcastle Utd,Javier Manquillo,ESP,DF,25,1994,17.8,0,1,0,0.0,0.06,0.0,0.0,,11.8,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,Jetro Willems,NED,DF,25,1994,16.6,2,14,6,42.9,0.84,0.36,0.14,0.33,19.6,0,0,0,0.6,0.6,0.04,1.4,1.4
ENG-Premier League,1920,Newcastle Utd,Joelinton,BRA,FW,22,1996,29.8,2,50,15,30.0,1.68,0.5,0.04,0.13,14.9,0,0,0,5.5,5.5,0.11,-3.5,-3.5
ENG-Premier League,1920,Newcastle Utd,Jonjo Shelvey,ENG,MF,27,1992,23.5,6,45,14,31.1,1.91,0.59,0.13,0.43,26.7,8,0,0,2.5,2.5,0.05,3.5,3.5
ENG-Premier League,1920,Newcastle Utd,Kelland Watts,ENG,DF,19,1999,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,Ki Sung-yueng,KOR,MF,30,1989,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,Martin Dúbravka,SVK,GK,30,1989,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Newcastle Utd,Matt Ritchie,SCO,"DF,MF",29,1989,14.6,2,25,7,28.0,1.71,0.48,0.08,0.29,24.4,1,0,1,1.7,0.9,0.04,0.3,1.1
ENG-Premier League,1920,Newcastle Utd,Matthew Longstaff,ENG,MF,19,2000,6.4,2,4,2,50.0,0.63,0.31,0.5,1.0,20.4,0,0,0,0.3,0.3,0.07,1.7,1.7
ENG-Premier League,1920,Newcastle Utd,Miguel Almirón,PAR,"MF,FW",25,1994,33.6,4,56,17,30.4,1.67,0.51,0.07,0.24,16.2,0,0,0,6.7,6.7,0.12,-2.7,-2.7
ENG-Premier League,1920,Newcastle Utd,Nabil Bentaleb,ALG,MF,24,1994,8.3,0,4,0,0.0,0.48,0.0,0.0,,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1920,Newcastle Utd,Paul Dummett,WAL,DF,27,1991,13.6,0,2,2,100.0,0.15,0.15,0.0,0.0,20.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1920,Newcastle Utd,Sean Longstaff,ENG,MF,21,1997,15.3,1,25,7,28.0,1.63,0.46,0.04,0.14,24.8,3,0,0,1.4,1.4,0.05,-0.4,-0.4
ENG-Premier League,1920,Newcastle Utd,Valentino Lazaro,AUT,"DF,MF",23,1996,5.3,1,4,1,25.0,0.75,0.19,0.25,1.0,21.9,0,0,0,0.4,0.4,0.1,0.6,0.6
ENG-Premier League,1920,Newcastle Utd,Yoshinori Mutō,JPN,"MF,FW",27,1992,2.4,0,1,0,0.0,0.42,0.0,0.0,,10.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
ENG-Premier League,1920,Norwich City,Adam Idah,IRL,"FW,MF",18,2001,2.5,0,6,2,33.3,2.37,0.79,0.0,0.0,17.5,0,0,0,1.0,1.0,0.17,-1.0,-1.0
ENG-Premier League,1920,Norwich City,Akin Famewo,ENG,MF,20,1998,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Norwich City,Alexander Tettey,NOR,"MF,DF",33,1986,26.0,1,23,3,13.0,0.89,0.12,0.04,0.33,24.7,0,0,0,0.8,0.8,0.04,0.2,0.2
ENG-Premier League,1920,Norwich City,Ben Godfrey,ENG,DF,21,1998,29.4,0,15,6,40.0,0.51,0.2,0.0,0.0,18.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7
ENG-Premier League,1920,Norwich City,Christoph Zimmermann,GER,DF,26,1993,15.9,0,6,1,16.7,0.38,0.06,0.0,0.0,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
ENG-Premier League,1920,Norwich City,Dennis Srbeny,GER,"MF,FW",25,1994,0.5,1,2,1,50.0,3.83,1.91,0.5,1.0,7.8,0,0,0,0.5,0.5,0.26,0.5,0.5
ENG-Premier League,1920,Norwich City,Emi Buendía,ARG,"FW,MF",22,1996,27.4,1,40,11,27.5,1.46,0.4,0.03,0.09,22.8,10,0,0,2.2,2.2,0.06,-1.2,-1.2
ENG-Premier League,1920,Norwich City,Grant Hanley,SCO,DF,27,1991,14.0,0,8,2,25.0,0.57,0.14,0.0,0.0,10.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
ENG-Premier League,1920,Norwich City,Ibrahim Amadou,FRA,"DF,MF",26,1993,8.4,0,6,1,16.7,0.71,0.12,0.0,0.0,17.6,0,0,0,0.8,0.8,0.13,-0.8,-0.8
ENG-Premier League,1920,Norwich City,Jamal Lewis,NIR,DF,21,1998,25.6,1,9,4,44.4,0.35,0.16,0.11,0.25,21.8,0,0,0,0.4,0.4,0.04,0.6,0.6
ENG-Premier League,1920,Norwich City,Jordan Thomas,ENG,FW,18,2001,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Norwich City,Josh Martin,ENG,"FW,MF",17,2001,0.4,0,1,1,100.0,2.43,2.43,0.0,0.0,13.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
ENG-Premier League,1920,Norwich City,Josip Drmić,SUI,FW,26,1992,7.2,1,14,5,35.7,1.95,0.7,0.07,0.2,13.4,0,0,0,3.1,3.1,0.22,-2.1,-2.1
ENG-Premier League,1920,Norwich City,Kenny McLean,SCO,MF,27,1992,33.0,1,30,10,33.3,0.91,0.3,0.03,0.1,21.6,2,0,0,1.4,1.4,0.05,-0.4,-0.4
ENG-Premier League,1920,Norwich City,Lukas Rupp,GER,"FW,MF",28,1991,7.7,0,4,2,50.0,0.52,0.26,0.0,0.0,17.7,0,0,0,0.9,0.9,0.21,-0.9,-0.9
ENG-Premier League,1920,Norwich City,Marco Stiepermann,GER,MF,28,1991,13.1,0,19,6,31.6,1.45,0.46,0.0,0.0,17.3,0,0,0,1.5,1.5,0.08,-1.5,-1.5
ENG-Premier League,1920,Norwich City,Mario Vrančić,BIH,MF,30,1989,7.1,1,14,3,21.4,1.98,0.42,0.07,0.33,19.2,2,0,0,1.5,1.5,0.11,-0.5,-0.5
ENG-Premier League,1920,Norwich City,Max Aarons,ENG,DF,19,2000,36.0,0,14,4,28.6,0.39,0.11,0.0,0.0,17.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6
ENG-Premier League,1920,Norwich City,Michael McGovern,NIR,GK,35,1984,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Norwich City,Moritz Leitner,GER,MF,26,1992,7.6,0,8,0,0.0,1.05,0.0,0.0,,23.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,1920,Norwich City,Ondrej Duda,SVK,MF,24,1994,8.0,0,10,3,30.0,1.24,0.37,0.0,0.0,22.1,2,0,0,0.5,0.5,0.05,-0.5,-0.5
ENG-Premier League,1920,Norwich City,Onel Hernández,CUB,"FW,MF",26,1993,15.4,1,29,8,27.6,1.89,0.52,0.03,0.13,18.2,0,0,0,2.2,2.2,0.08,-1.2,-1.2
ENG-Premier League,1920,Norwich City,Patrick Roberts,ENG,"FW,MF",22,1997,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Norwich City,Ralf Fährmann,GER,GK,30,1988,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Norwich City,Sam Byram,ENG,DF,25,1993,14.4,0,15,2,13.3,1.04,0.14,0.0,0.0,11.4,0,0,0,1.4,1.4,0.09,-1.4,-1.4
ENG-Premier League,1920,Norwich City,Teemu Pukki,FIN,FW,29,1990,32.1,11,78,33,42.3,2.43,1.03,0.12,0.27,15.5,0,2,2,11.2,9.7,0.12,-0.2,-0.7
ENG-Premier League,1920,Norwich City,Tim Krul,NED,GK,31,1988,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Norwich City,Timm Klose,SUI,DF,31,1988,6.5,0,3,0,0.0,0.46,0.0,0.0,,12.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2
ENG-Premier League,1920,Norwich City,Todd Cantwell,ENG,"FW,MF",21,1998,27.7,6,42,16,38.1,1.52,0.58,0.14,0.38,16.1,0,0,0,5.4,5.4,0.13,0.6,0.6
ENG-Premier League,1920,Norwich City,Tom Trybull,GER,MF,26,1993,12.6,0,11,2,18.2,0.88,0.16,0.0,0.0,18.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5
ENG-Premier League,1920,Sheffield Utd,Ben Osborn,ENG,"MF,DF",24,1994,6.6,0,3,1,33.3,0.45,0.15,0.0,0.0,13.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
ENG-Premier League,1920,Sheffield Utd,Billy Sharp,ENG,FW,33,1986,11.7,3,16,7,43.8,1.37,0.6,0.19,0.43,9.6,0,0,0,3.8,3.8,0.24,-0.8,-0.8
ENG-Premier League,1920,Sheffield Utd,Callum Robinson,IRL,"FW,MF",24,1995,7.5,1,12,4,33.3,1.6,0.53,0.08,0.25,14.9,0,0,0,1.6,1.6,0.13,-0.6,-0.6
ENG-Premier League,1920,Sheffield Utd,Chris Basham,ENG,DF,31,1988,36.0,0,6,0,0.0,0.17,0.0,0.0,,13.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,1920,Sheffield Utd,David McGoldrick,IRL,FW,31,1987,20.2,2,46,20,43.5,2.28,0.99,0.04,0.1,14.5,0,0,0,8.0,8.0,0.17,-6.0,-6.0
ENG-Premier League,1920,Sheffield Utd,Dean Henderson,ENG,GK,22,1997,36.0,0,1,0,0.0,0.03,0.0,0.0,,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1920,Sheffield Utd,Enda Stevens,IRL,DF,29,1990,37.2,2,22,4,18.2,0.59,0.11,0.09,0.5,17.8,0,0,0,1.3,1.3,0.06,0.7,0.7
ENG-Premier League,1920,Sheffield Utd,George Baldock,GRE,DF,26,1993,38.0,2,13,4,30.8,0.34,0.11,0.15,0.5,16.9,0,0,0,0.6,0.6,0.05,1.4,1.4
ENG-Premier League,1920,Sheffield Utd,Jack O'Connell,ENG,DF,25,1994,32.4,0,14,2,14.3,0.43,0.06,0.0,0.0,10.9,0,0,0,1.0,1.0,0.07,-1.0,-1.0
ENG-Premier League,1920,Sheffield Utd,Jack Robinson,ENG,DF,25,1993,5.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Sheffield Utd,Jack Rodwell,ENG,MF,28,1991,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Sheffield Utd,John Egan,IRL,DF,26,1992,35.4,2,27,4,14.8,0.76,0.11,0.07,0.5,9.4,0,0,0,2.7,2.7,0.1,-0.7,-0.7
ENG-Premier League,1920,Sheffield Utd,John Fleck,SCO,MF,27,1991,28.0,5,31,11,35.5,1.11,0.39,0.16,0.45,20.1,0,0,0,3.1,3.1,0.1,1.9,1.9
ENG-Premier League,1920,Sheffield Utd,John Lundstram,ENG,MF,25,1994,27.3,5,43,10,23.3,1.57,0.37,0.12,0.5,17.6,0,0,0,5.3,5.3,0.12,-0.3,-0.3
ENG-Premier League,1920,Sheffield Utd,Kieron Freeman,WAL,FW,27,1992,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Sheffield Utd,Leon Clarke,ENG,"FW,MF",34,1985,0.4,0,1,0,0.0,2.57,0.0,0.0,,9.6,0,0,0,0.5,0.5,0.46,-0.5,-0.5
ENG-Premier League,1920,Sheffield Utd,Luke Freeman,ENG,MF,27,1992,4.1,0,3,0,0.0,0.74,0.0,0.0,,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1920,Sheffield Utd,Lys Mousset,FRA,FW,23,1996,13.8,6,37,9,24.3,2.69,0.65,0.16,0.67,16.2,0,0,0,5.5,5.5,0.15,0.5,0.5
ENG-Premier League,1920,Sheffield Utd,Muhamed Bešić,BIH,MF,26,1992,2.8,0,4,2,50.0,1.44,0.72,0.0,0.0,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,1920,Sheffield Utd,Oliver McBurnie,SCO,FW,23,1996,23.5,6,50,24,48.0,2.13,1.02,0.12,0.25,10.3,0,0,0,7.7,7.7,0.15,-1.7,-1.7
ENG-Premier League,1920,Sheffield Utd,Oliver Norwood,NIR,MF,28,1991,34.3,1,16,5,31.3,0.47,0.15,0.0,0.0,27.8,4,1,1,1.5,0.7,0.04,-0.5,-0.7
ENG-Premier League,1920,Sheffield Utd,Phil Jagielka,ENG,DF,36,1982,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Sheffield Utd,Ravel Morrison,JAM,MF,26,1993,0.1,0,1,0,0.0,6.92,0.0,0.0,,12.9,0,0,0,0.0,0.0,0.05,0.0,0.0
ENG-Premier League,1920,Sheffield Utd,Richairo Živković,CUW,FW,22,1996,1.2,0,1,0,0.0,0.8,0.0,0.0,,11.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1920,Sheffield Utd,Sander Berge,NOR,MF,21,1998,10.5,1,5,2,40.0,0.48,0.19,0.2,0.5,13.5,0,0,0,0.6,0.6,0.12,0.4,0.4
ENG-Premier League,1920,Sheffield Utd,Simon Moore,ENG,GK,29,1990,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Southampton,Alex McCarthy,ENG,GK,29,1989,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Southampton,Angus Gunn,SCO,GK,23,1996,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1920,Southampton,Che Adams,SCO,FW,23,1996,12.3,4,36,9,25.0,2.92,0.73,0.11,0.44,15.2,0,0,0,5.3,5.3,0.15,-1.3,-1.3
ENG-Premier League,1920,Southampton,Cédric Soares,POR,DF,27,1991,14.5,0,9,4,44.4,0.62,0.28,0.0,0.0,20.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6
ENG-Premier League,1920,Southampton,Danny Ings,ENG,FW,27,1992,31.2,22,91,35,38.5,2.92,1.12,0.23,0.6,13.9,0,1,2,16.2,14.7,0.16,5.8,6.3
ENG-Premier League,1920,Southampton,Jack Stephens,ENG,DF,25,1994,27.2,1,6,1,16.7,0.22,0.04,0.17,1.0,9.2,0,0,0,1.0,1.0,0.17,0.0,0.0
ENG-Premier League,1920,Southampton,Jake Vokins,ENG,DF,19,2000,1.0,0,1,0,0.0,1.0,0.0,0.0,,31.3,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,1920,Southampton,James Ward-Prowse,ENG,"MF,DF",24,1994,38.0,5,54,23,42.6,1.42,0.61,0.07,0.17,23.9,24,1,3,7.3,4.8,0.09,-2.3,-0.8
ENG-Premier League,1920,Southampton,Jan Bednarek,POL,DF,23,1996,34.0,1,7,1,14.3,0.21,0.03,0.14,1.0,7.8,0,0,0,1.1,1.1,0.16,-0.1,-0.1
ENG-Premier League,1920,Southampton,Jannik Vestergaard,DEN,DF,26,1992,16.6,1,12,5,41.7,0.72,0.3,0.08,0.2,11.7,0,0,0,1.4,1.4,0.11,-0.4,-0.4
ENG-Premier League,1920,Southampton,Kevin Danso,AUT,DF,20,1998,3.1,0,1,0,0.0,0.32,0.0,0.0,,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1920,Southampton,Kyle Walker-Peters,ENG,DF,22,1997,7.8,0,2,0,0.0,0.26,0.0,0.0,,15.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1920,Southampton,Maya Yoshida,JPN,DF,30,1988,6.2,0,5,3,60.0,0.8,0.48,0.0,0.0,11.6,0,0,0,0.7,0.7,0.13,-0.7,-0.7
ENG-Premier League,1920,Southampton,Michael Obafemi,IRL,FW,19,2000,7.4,3,12,5,41.7,1.62,0.68,0.25,0.6,14.4,0,0,0,1.8,1.8,0.15,1.2,1.2
ENG-Premier League,1920,Southampton,Moussa Djenepo,MLI,"MF,DF",21,1998,10.3,2,20,7,35.0,1.94,0.68,0.1,0.29,18.1,0,0,0,2.4,2.4,0.12,-0.4,-0.4
ENG-Premier League,1920,Southampton,Nathan Redmond,ENG,"MF,FW",25,1994,30.7,4,59,21,35.6,1.92,0.68,0.07,0.19,18.9,2,0,0,5.1,5.1,0.09,-1.1,-1.1
ENG-Premier League,1920,Southampton,Nathan Tella,NGA,FW,20,1999,0.0,0,1,1,100.0,30.0,30.0,0.0,0.0,17.7,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,1920,Southampton,Oriol Romeu,ESP,MF,27,1991,20.7,0,8,0,0.0,0.39,0.0,0.0,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,1920,Southampton,Pierre Højbjerg,DEN,MF,23,1995,30.6,0,46,11,23.9,1.5,0.36,0.0,0.0,22.0,0,0,0,3.2,3.2,0.07,-3.2,-3.2
ENG-Premier League,1920,Southampton,Ryan Bertrand,ENG,DF,29,1989,30.5,1,18,3,16.7,0.59,0.1,0.06,0.33,19.4,1,0,0,1.7,1.7,0.1,-0.7,-0.7
ENG-Premier League,1920,Southampton,Shane Long,IRL,FW,32,1987,15.5,2,33,13,39.4,2.13,0.84,0.06,0.15,11.3,0,0,0,4.8,4.8,0.15,-2.8,-2.8
ENG-Premier League,1920,Southampton,Sofiane Boufal,MAR,"MF,FW",25,1993,8.5,0,18,7,38.9,2.12,0.82,0.0,0.0,21.3,0,0,0,1.0,1.0,0.06,-1.0,-1.0
ENG-Premier League,1920,Southampton,Stuart Armstrong,SCO,MF,27,1992,19.1,5,46,20,43.5,2.41,1.05,0.11,0.25,21.2,0,0,0,2.8,2.8,0.06,2.2,2.2
ENG-Premier League,1920,Southampton,William Smallbone,IRL,MF,19,2000,4.4,0,6,0,0.0,1.37,0.0,0.0,,22.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,1920,Southampton,Yan Valery,TUN,DF,20,1999,8.7,0,3,2,66.7,0.35,0.23,0.0,0.0,15.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
